ngram,log_odds,count_top,count_bot
putbacks,1.1284888958091255,5,2
12 7,1.1284888958091255,5,2
play style,1.1284888958091255,5,2
game showing,1.1284888958091255,5,2
15 7,1.1284888958091255,5,2
polish,1.1056899344778905,27,11
09,1.0946129998808658,56,23
clear,1.0898440826226388,17,7
currently,1.0863149855645915,46,19
4 1,1.083334943160553,29,12
6 foot,1.0722692000011875,12,5
69,1.0722692000011875,12,5
maximum,1.0722692000011875,12,5
size length,1.0722692000011875,12,5
expect,1.0722692000011875,12,5
traits,1.0722692000011875,12,5
villanova,1.0722692000011875,12,5
basketball player,1.0722692000011875,12,5
net,1.0722692000011875,12,5
could stand,1.057841708947885,19,8
youtube,1.0568631443890304,83,35
progress,1.0327149627601813,28,12
hook shot,1.0319456502502966,14,6
turning,1.0319456502502966,14,6
viewed,1.030534783130733,7,3
deep range,1.030534783130733,7,3
aran 4,1.030534783130733,7,3
less athletic,1.030534783130733,7,3
sized,1.030534783130733,7,3
balanced,1.030534783130733,7,3
immense,1.030534783130733,7,3
stepping,1.030534783130733,7,3
