ngram,log_odds,count_top,count_bot
reb,1.225776290945694,29,11
fundamentals,1.205642793415036,26,10
0 4,1.2046699391554885,13,5
7 7,1.2046699391554885,13,5
0 5,1.1713432446544072,33,13
2 0,1.1493814764611656,35,14
5 2,1.1490696572692212,25,10
53,1.1488211980332395,20,8
5 assists,1.1476772259034824,10,4
upright,1.1476772259034824,10,4
towards,1.1476772259034824,10,4
balanced,1.1476772259034824,10,4
mini,1.1476772259034824,10,4
84,1.1476772259034824,10,4
top 5,1.1476772259034824,10,4
becomes,1.1476772259034824,10,4
incredibly explosive,1.1476772259034824,10,4
make shots,1.1476772259034824,10,4
5 ppg,1.1476772259034824,10,4
grabbing,1.1454921059125667,5,2
illinois,1.1454921059125667,5,2
houston,1.1454921059125667,5,2
alley oop,1.1454921059125667,5,2
every time,1.1454921059125667,5,2
fg inside,1.1454921059125667,5,2
finished fourth,1.1454921059125667,5,2
shot shows,1.1454921059125667,5,2
react,1.1454921059125667,5,2
mixed,1.1454921059125667,5,2
wears,1.1454921059125667,5,2
game tomes,1.1454921059125667,5,2
12 7,1.1454921059125667,5,2
operates,1.1454921059125667,5,2
freshman played,1.1454921059125667,5,2
1 25,1.1454921059125667,5,2
showcase,1.1454921059125667,5,2
8 16,1.1454921059125667,5,2
underclassman,1.1454921059125667,5,2
ins,1.1454921059125667,5,2
mother,1.1454921059125667,5,2
midrange pull,1.1454921059125667,5,2
hgt w,1.1454921059125667,5,2
doubled,1.1454921059125667,5,2
123,1.1454921059125667,5,2
similarly,1.1454921059125667,5,2
concerning,1.1454921059125667,5,2
11 3,1.1454921059125667,5,2
outlet,1.1454921059125667,5,2
split,1.1454921059125667,5,2
elite quickness,1.1454921059125667,5,2
size well,1.1454921059125667,5,2
nbl,1.1454921059125667,5,2
good handling,1.1454921059125667,5,2
game played,1.1454921059125667,5,2
changes direction,1.1454921059125667,5,2
three pointer,1.1454921059125667,5,2
somewhere,1.1454921059125667,5,2
craft,1.1454921059125667,5,2
recognition,1.1454921059125667,5,2
handles contact,1.1454921059125667,5,2
broad,1.1454921059125667,5,2
equal,1.1454921059125667,5,2
