player_name,draft_year,draft_pick,position,player_id,SEASON_ID,PLUS_MINUS,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,TOV,PF,TEAM_ABBREVIATION,note,PLAYER_ID,PLAYER_NAME
Micah Downs,2009.0,80.0,Shooting Guard/Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Daniel Hackett,2009.0,81.0,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Luke Nevill,2009.0,82.0,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
AJ Abrams,2009.0,83.0,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Josh Shipp,2009.0,84.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Dominic James,2009.0,85.0,Point Guard,202345.0,2013-14,2.4,5.0,10.1,1.2,2.4,0.6,0.0,0.2,0.222,0.0,1.0,0.4,1.8,0.0,0.4,0.4,0.4,0.2,2.2,0.2,0.6,SAS,recovered:last+initial,202345.0,Damion James
Jeremy Pargo,2009.0,86.0,Point Guard,202951.0,2011-12,-2.7,44.0,9.6,2.9,0.8,1.3,0.3,0.0,0.333,0.263,0.593,1.1,3.4,0.2,0.9,0.4,0.6,0.3,0.6,1.0,1.0,MEM,ok,202951.0,Jeremy Pargo
Russell Hicks,2009.0,87.0,Center,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Patrick Beverly,2009.0,88.0,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Josh Carter,2009.0,89.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Cedric Jackson,2009.0,90.0,Point Guard,202132.0,2009-10,-0.8,12.0,6.2,1.7,0.7,1.2,0.3,0.2,0.3,0.167,0.583,0.5,1.7,0.1,0.5,0.6,1.0,0.2,0.5,0.9,0.6,WAS,ok,202132.0,Cedric Jackson
Luigi Datome,2009.0,91.0,Small Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Antonio Anderson,2009.0,92.0,Shooting Guard,202079.0,2009-10,-2.0,1.0,14.6,2.0,1.0,0.0,0.0,0.0,0.333,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,OKC,ok,202079.0,Antonio Anderson
Joe Ingles,2009.0,93.0,Shooting Guard/Small Forward,204060.0,,,,,,,,,,,,,,,,,,,,,,,,no_data_in_2009-10_to_2013-14,,
Kevin Rogers,2009.0,94.0,Small Forward/Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Charlie Coley,2009.0,95.0,Small Forward,202708.0,2013-14,1.2,82.0,24.6,6.4,2.0,3.0,0.9,0.1,0.414,0.345,0.779,2.5,6.1,0.7,2.1,0.6,0.8,0.2,1.7,1.5,1.9,MIA,recovered:last_fuzzy,202708.0,Norris Cole
Lorrenzo Wade,2009.0,96.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Eric Devendorf,2009.0,97.0,Point Guard/Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Lewis Clinch,2009.0,98.0,Shooting Guard,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
Dar Tucker,2009.0,99.0,Shooting Guard,201169.0,2009-10,-2.9,15.0,6.4,3.4,0.7,0.3,0.0,0.0,0.436,0.143,0.762,1.1,2.6,0.1,0.5,1.1,1.4,0.4,0.3,0.3,0.4,MIN,recovered:last_unique_wide_era,201169.0,Alando Tucker
Connor Atchley,2009.0,100.0,Power Forward,,,,,,,,,,,,,,,,,,,,,,,,,not_found_in_api,,
John Wall,2010.0,1.0,Point Guard,202322.0,2014-15,3.5,79.0,35.9,17.6,4.6,10.0,1.7,0.6,0.445,0.3,0.785,6.6,14.8,0.8,2.7,3.6,4.6,0.5,4.2,3.8,2.3,WAS,ok,202322.0,John Wall
Evan Turner,2010.0,2.0,Shooting Guard,202323.0,2011-12,0.8,65.0,26.3,9.4,5.8,2.8,0.6,0.3,0.446,0.224,0.676,4.0,9.1,0.2,0.8,1.1,1.7,0.4,5.4,1.6,1.8,PHI,ok,202323.0,Evan Turner
