 


  
  

NCAA Men's Basketball
Division IPoints Per Game
Through Games 04/07/2014


"Rank","Name","Team","Cl","Ht","Pos","G","FGM","3FG","FT","PTS","PPG"
"8","Thomas van der Mars","Portland","Jr.","6-11","C","31","165","274","60.2"
"9","Ronald Roberts","Saint Joseph's","Sr.","6-8","F","32","174","290","60.0"
"10","Chris Horton","Austin Peay","So.","6-8","C","30","163","274","59.5"
"11","D.J. Covington","VMI","Sr.","6-9","F","35","268","452","59.3"
"12","Max Jacobsen","Northern Ariz.","Sr.","6-8","F","32","169","286","59.1"
"13","Tashawn Thomas","Houston","Jr.","6-8","G","33","205","347","59.1"
"14","De'Mon Brooks","Davidson","Sr.","6-7","F","27","173","295","58.6"
"15","Tymell Murphy","FIU","Sr.","6-5","F","31","198","338","58.6"
"16","Isaac Fotu","Hawaii","So.","6-8","F","31","181","310","58.4"
"17","Shawn Jones","Middle Tenn.","Sr.","6-8","F","33","183","317","57.7"
"18","Alex Francis","Bryant","Sr.","6-6","F","32","225","390","57.7"
"19","Corey Petros","Oakland","Jr.","6-10","C","33","182","316","57.6"
"20","Jerrell Wright","La Salle","Jr.","6-8","F","31","160","278","57.6"
"21","Derrick Barden","Northern Colo.","Sr.","6-5","F","32","180","313","57.5"
"22","Sam Dower","Gonzaga","Sr.","6-9","C","34","185","324","57.1"
"23","Thomas Walkup","SFA","So.","6-4","G","35","175","308","56.8"
"24","Brad Waldow","Saint Mary's (CA)","Jr.","6-9","F","35","191","338","56.5"
"25","Delon Wright","Utah","Jr.","6-5","G","33","174","310","56.1"
"26","Javon McCrea","Buffalo","Sr.","6-6","F","29","202","360","56.1"
"27","Cameron Bairstow","New Mexico","Sr.","6-9","F","34","237","426","55.6"
"28","Jeremy Smith","Nicholls","Sr.","6-3","G","29","154","277","55.6"
"29","Calvin Godfrey","Southern U.","Jr.","6-9","F","31","155","279","55.6"
"30","Fran Dougherty","Penn","Sr.","6-8","F","28","143","259","55.2"
"31","Ian Chiles","Morgan St.","Sr.","7-2","C","31","185","337","54.9"
"32","Chase Fieler","FGCU","Sr.","6-8","F","35","187","341","54.8"
"33","Javonte Green","Radford","Jr.","6-4","G","35","212","387","54.8"
"34","Stephen Maxwell","CSUN","Jr.","6-7","F","35","216","395","54.7"
"35","Brendan Lane","Pepperdine","Sr.","6-9","F","30","164","300","54.7"
"36","Dan Trist","Lafayette","Jr.","6-9","F","30","156","286","54.5"
"37","Matthew Hezekiah","South Carolina St.","Sr.","6-11","F","30","151","277","54.5"
"38","John Brown","High Point","So.","6-8","F","31","224","411","54.5"
"39","Larry Nance Jr.","Wyoming","Jr.","6-8","F","26","147","270","54.4"
"40","Tyler Stone","Southeast Mo. St.","Sr.","6-8","F","30","223","410","54.4"
"41","David Kravish","California","Jr.","6-10","F","35","178","328","54.3"
"42","Scott Eatherton","Northeastern","Jr.","6-8","F","32","180","333","54.1"
"43","Jacob Parker","SFA","Jr.","6-6","F","35","175","325","53.8"
"44","T.J. Bray","Princeton","Sr.","6-5","G","26","152","283","53.7"
"45","Christian Thomas","Loyola Chicago","Jr.","6-5","F","32","160","299","53.5"
"46","Will Felder","Miami (OH)","Sr.","6-7","F","31","161","301","53.5"
"47","Alan Williams","UC Santa Barbara","Jr.","6-7","C","28","224","420","53.3"
"48","Jordan Mickey","LSU","Fr.","6-8","F","34","171","321","53.3"
"49","Khyle Marshall","Butler","Sr.","6-6","F","31","196","368","53.3"
"50","Earl Brown","Saint Francis","Jr.","6-5","F","31","181","341","53.1"
"51","Jarnell Stokes","Tennessee","Jr.","6-8","F","37","199","375","53.1"
"52","Jerrelle Benimon","Towson","Sr.","6-8","F","36","225","425","52.9"
"53","Lucas Troutman","Elon","Sr.","6-10","F","31","185","350","52.9"
"54","Frank Kaminsky","Wisconsin","Jr.","7-0","F","38","196","371","52.8"
"55","Venky Jois","Eastern Wash.","So.","6-8","F","31","160","303","52.8"
"56","Mark Nwakamma","Hartford","Jr.","6-6","F","31","171","324","52.8"
"57","Shayne Whittington","Western Mich.","Sr.","6-11","C","31","188","357","52.7"
"58","Doug McDermott","Creighton","Sr.","6-8","F","35","330","627","52.6"
"59","T.J. Warren","NC State","So.","6-8","F","35","342","652","52.5"
