Name,draft_year,draft_pick,position,Season,Team,Cl,Pos,Ht,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
Lazar Hayward,2010,39,Small Forward,2009-2010,Marquette,Sr.,F,6-6,34,222.0,65.0,107.0,616.0,18.1,514.0,43.2,1.9,186.0,34.946236559139784,127.0,84.3,256.0,7.5,52.0,1.5294117647058822,18.0,0.5294117647058824,64.0,1.9,67.0,,,,,,72.0,184.0
Jerome Jordan,2010,41,Center,2009-2010,Tulsa,Sr.,C,7-0,35,184.0,0.0,172.0,540.0,15.4,335.0,54.9,,0.0,,250.0,68.8,317.0,9.1,44.0,1.2571428571428571,82.0,2.3,16.0,0.4571428571428571,79.0,,,,,,84.0,233.0
Solomon Alabi,2010,42,Center,2009-2010,Florida St.,So.,C,7-1,32,133.0,0.0,108.0,374.0,11.6875,249.0,53.4136546184739,,0.0,,136.0,79.4,198.0,6.1875,16.0,0.5,75.0,2.3,20.0,0.625,61.0,,,,,,79.0,119.0
Greivis Vasquez,2010,45,Point Guard/Shooting Guard,2009-2010,Maryland,Sr.,G,6-6,33,220.0,69.0,138.0,647.0,19.6,513.0,42.9,2.1,192.0,35.9375,161.0,85.7,153.0,4.636363636363637,208.0,6.3,12.0,0.3636363636363636,56.0,1.7,111.0,1.87,,,,,38.0,115.0
Manny Harris,2010,46,Shooting Guard,2009-2010,Michigan,Jr.,G,6-5,31,181.0,48.0,152.0,562.0,18.1,430.0,42.1,,156.0,30.76923076923077,190.0,80.0,187.0,6.032258064516129,126.0,4.1,11.0,0.3548387096774194,56.0,1.8,88.0,1.43,1.0,,,,57.0,130.0
Jarvis Varnado,2010,49,Power Forward,2009-2010,Mississippi St.,Sr.,F,6-9,36,184.0,0.0,128.0,496.0,13.77777777777778,316.0,58.2,,0.0,,210.0,60.95238095238095,369.0,10.3,32.0,0.8888888888888888,170.0,4.7,24.0,0.6666666666666666,71.0,,1.0,18.0,,,107.0,262.0
Samardo Samuels,2010,53,Power Forward,2009-2010,Louisville,So.,F,6-9,33,176.0,0.0,154.0,506.0,15.3,336.0,52.4,,0.0,,218.0,70.64220183486239,231.0,7.0,39.0,1.181818181818182,37.0,1.1,20.0,0.6060606060606061,82.0,,,,,,106.0,125.0
Darington Hobson,2010,54,Small Forward,2009-2010,New Mexico,Jr.,F,6-7,35,193.0,39.0,130.0,555.0,15.9,439.0,44.0,,108.0,36.111111111111114,199.0,65.32663316582915,324.0,9.3,160.0,4.6,15.0,0.4285714285714285,44.0,1.2571428571428571,104.0,1.54,,,,,75.0,250.0
Hamady Ndiaye,2010,57,Center,2009-2010,Rutgers,Sr.,C,7-0,32,114.0,0.0,74.0,302.0,9.4375,197.0,57.868020304568525,,0.0,,120.0,61.666666666666664,228.0,7.1,14.0,0.4375,145.0,4.5,13.0,0.40625,47.0,,,,,,76.0,152.0
Luke Harangody,2010,60,Small Forward/Power Forward,2009-2010,Notre Dame,Sr.,F,6-8,30,244.0,25.0,140.0,653.0,21.8,507.0,48.1,,81.0,30.864197530864196,178.0,78.7,273.0,9.1,47.0,1.5666666666666669,20.0,0.6666666666666666,14.0,0.4666666666666667,54.0,,,,,,67.0,206.0
